District Id,Month,Cases
AP_Anantapur,1,118
AP_Anantapur,2,345
AP_Anantapur,3,3188
AP_Anantapur,4,24445
AP_Anantapur,5,21693
AP_Anantapur,6,11821
AP_Anantapur,7,4493
AP_Anantapur,8,911
AP_Anantapur,9,535
AP_Anantapur,10,146
AP_Anantapur,11,162
AP_Anantapur,12,2224
AP_Anantapur,13,37805
AP_Anantapur,14,41980
AP_Anantapur,15,5409
AP_Anantapur,16,1496
AP_Anantapur,17,0
AP_Chittoor,1,151
AP_Chittoor,2,202
AP_Chittoor,3,2721
AP_Chittoor,4,18445
AP_Chittoor,5,28627
AP_Chittoor,6,21579
AP_Chittoor,7,10250
AP_Chittoor,8,2914
AP_Chittoor,9,1810
AP_Chittoor,10,510
AP_Chittoor,11,861
AP_Chittoor,12,8103
AP_Chittoor,13,54995
AP_Chittoor,14,57810
AP_Chittoor,15,16513
AP_Chittoor,16,9380
AP_Chittoor,17,0
AP_East Godavari,1,51
AP_East Godavari,2,301
AP_East Godavari,3,2763
AP_East Godavari,4,35177
AP_East Godavari,5,39928
AP_East Godavari,6,29668
AP_East Godavari,7,12414
AP_East Godavari,8,2714
AP_East Godavari,9,1011
AP_East Godavari,10,333
AP_East Godavari,11,286
AP_East Godavari,12,2460
AP_East Godavari,13,49697
AP_East Godavari,14,71663
AP_East Godavari,15,22683
AP_East Godavari,16,11240
AP_East Godavari,17,0
AP_Guntur,1,404
AP_Guntur,2,219
AP_Guntur,3,2733
AP_Guntur,4,21584
AP_Guntur,5,21064
AP_Guntur,6,14953
AP_Guntur,7,9833
AP_Guntur,8,3178
AP_Guntur,9,1275
AP_Guntur,10,372
AP_Guntur,11,296
AP_Guntur,12,7606
AP_Guntur,13,46209
AP_Guntur,14,27837
AP_Guntur,15,7853
AP_Guntur,16,5077
AP_Guntur,17,0
AP_Krishna,1,351
AP_Krishna,2,350
AP_Krishna,3,2043
AP_Krishna,4,9039
AP_Krishna,5,9692
AP_Krishna,6,11435
AP_Krishna,7,10134
AP_Krishna,8,3677
AP_Krishna,9,1564
