District Id,Cases,Week
AP_Anantapur,0,1
AP_Anantapur,0,2
AP_Anantapur,71,3
AP_Anantapur,31,4
AP_Anantapur,20,5
AP_Anantapur,14,6
AP_Anantapur,73,7
AP_Anantapur,65,8
AP_Anantapur,144,9
AP_Anantapur,371,10
AP_Anantapur,531,11
AP_Anantapur,779,12
AP_Anantapur,1062,13
AP_Anantapur,1343,14
AP_Anantapur,4485,15
AP_Anantapur,6838,16
AP_Anantapur,7422,17
AP_Anantapur,5698,18
AP_Anantapur,5380,19
AP_Anantapur,5133,20
AP_Anantapur,5087,21
AP_Anantapur,4238,22
AP_Anantapur,3513,23
AP_Anantapur,3431,24
AP_Anantapur,2594,25
AP_Anantapur,2313,26
AP_Anantapur,1632,27
AP_Anantapur,1322,28
AP_Anantapur,1016,29
AP_Anantapur,863,30
AP_Anantapur,634,31
AP_Anantapur,325,32
AP_Anantapur,226,33
AP_Anantapur,171,34
AP_Anantapur,164,35
AP_Anantapur,132,36
AP_Anantapur,127,37
AP_Anantapur,126,38
AP_Anantapur,116,39
AP_Anantapur,63,40
AP_Anantapur,51,41
AP_Anantapur,37,42
AP_Anantapur,32,43
AP_Anantapur,16,44
AP_Anantapur,29,45
AP_Anantapur,35,46
AP_Anantapur,48,47
AP_Anantapur,47,48
AP_Anantapur,98,49
AP_Anantapur,268,50
AP_Anantapur,331,51
AP_Anantapur,786,52
AP_Anantapur,1817,53
AP_Anantapur,4641,54
AP_Anantapur,8625,55
AP_Anantapur,12324,56
AP_Anantapur,14123,57
AP_Anantapur,15987,58
AP_Anantapur,9691,59
AP_Anantapur,7126,60
AP_Anantapur,5562,61
AP_Anantapur,2420,62
AP_Anantapur,1701,63
AP_Anantapur,980,64
AP_Anantapur,654,65
AP_Anantapur,498,66
AP_Anantapur,457,67
AP_Anantapur,335,68
AP_Anantapur,264,69
AP_Anantapur,235,70
AP_Chittoor,0,1
AP_Chittoor,0,2
AP_Chittoor,80,3
AP_Chittoor,16,4
AP_Chittoor,77,5
AP_Chittoor,35,6
AP_Chittoor,45,7
AP_Chittoor,45,8
AP_Chittoor,52,9
AP_Chittoor,165,10
AP_Chittoor,294,11
AP_Chittoor,441,12
AP_Chittoor,1259,13
AP_Chittoor,1698,14
AP_Chittoor,2662,15
AP_Chittoor,4458,16
AP_Chittoor,4922,17
AP_Chittoor,6229,18
AP_Chittoor,6418,19
AP_Chittoor,5869,20
AP_Chittoor,6869,21
AP_Chittoor,6807,22
AP_Chittoor,5618,23
AP_Chittoor,5184,24
AP_Chittoor,5255,25
AP_Chittoor,5111,26
AP_Chittoor,3588,27
AP_Chittoor,2897,28
AP_Chittoor,2248,29
AP_Chittoor,2095,30
AP_Chittoor,1538,31
AP_Chittoor,989,32
AP_Chittoor,615,33
AP_Chittoor,582,34
AP_Chittoor,581,35
AP_Chittoor,639,36
AP_Chittoor,450,37
AP_Chittoor,417,38
AP_Chittoor,305,39
AP_Chittoor,180,40
AP_Chittoor,195,41
AP_Chittoor,90,42
AP_Chittoor,93,43
AP_Chittoor,89,44
AP_Chittoor,95,45
AP_Chittoor,146,46
AP_Chittoor,203,47
AP_Chittoor,336,48
AP_Chittoor,369,49
AP_Chittoor,793,50
AP_Chittoor,1359,51
AP_Chittoor,2940,52
AP_Chittoor,5642,53
AP_Chittoor,9261,54
AP_Chittoor,13808,55
AP_Chittoor,15616,56
AP_Chittoor,16284,57
AP_Chittoor,18635,58
AP_Chittoor,15148,59
AP_Chittoor,11301,60
AP_Chittoor,8014,61
AP_Chittoor,6148,62
AP_Chittoor,4517,63
AP_Chittoor,3677,64
AP_Chittoor,2740,65
AP_Chittoor,2354,66
AP_Chittoor,2248,67
