State,District,Month,Cases
Andhra Pradesh,AP_Anantapur,1,118
Andhra Pradesh,AP_Anantapur,2,345
Andhra Pradesh,AP_Anantapur,3,3188
Andhra Pradesh,AP_Anantapur,4,24445
Andhra Pradesh,AP_Anantapur,5,21693
Andhra Pradesh,AP_Anantapur,6,11821
Andhra Pradesh,AP_Anantapur,7,4493
Andhra Pradesh,AP_Anantapur,8,911
Andhra Pradesh,AP_Anantapur,9,535
Andhra Pradesh,AP_Anantapur,10,146
Andhra Pradesh,AP_Anantapur,11,162
Andhra Pradesh,AP_Anantapur,12,2224
Andhra Pradesh,AP_Anantapur,13,37805
Andhra Pradesh,AP_Anantapur,14,41980
Andhra Pradesh,AP_Anantapur,15,5409
Andhra Pradesh,AP_Anantapur,16,1496
Andhra Pradesh,AP_Anantapur,17,0
Andhra Pradesh,AP_Chittoor,1,151
Andhra Pradesh,AP_Chittoor,2,202
Andhra Pradesh,AP_Chittoor,3,2721
Andhra Pradesh,AP_Chittoor,4,18445
Andhra Pradesh,AP_Chittoor,5,28627
Andhra Pradesh,AP_Chittoor,6,21579
Andhra Pradesh,AP_Chittoor,7,10250
Andhra Pradesh,AP_Chittoor,8,2914
Andhra Pradesh,AP_Chittoor,9,1810
Andhra Pradesh,AP_Chittoor,10,510
Andhra Pradesh,AP_Chittoor,11,861
Andhra Pradesh,AP_Chittoor,12,8103
Andhra Pradesh,AP_Chittoor,13,54995
Andhra Pradesh,AP_Chittoor,14,57810
Andhra Pradesh,AP_Chittoor,15,16513
Andhra Pradesh,AP_Chittoor,16,9380
Andhra Pradesh,AP_Chittoor,17,0
Andhra Pradesh,AP_East Godavari,1,51
Andhra Pradesh,AP_East Godavari,2,301
Andhra Pradesh,AP_East Godavari,3,2763
Andhra Pradesh,AP_East Godavari,4,35177
Andhra Pradesh,AP_East Godavari,5,39928
Andhra Pradesh,AP_East Godavari,6,29668
Andhra Pradesh,AP_East Godavari,7,12414
Andhra Pradesh,AP_East Godavari,8,2714
Andhra Pradesh,AP_East Godavari,9,1011
Andhra Pradesh,AP_East Godavari,10,333
Andhra Pradesh,AP_East Godavari,11,286
Andhra Pradesh,AP_East Godavari,12,2460
Andhra Pradesh,AP_East Godavari,13,49697
Andhra Pradesh,AP_East Godavari,14,71663
Andhra Pradesh,AP_East Godavari,15,22683
Andhra Pradesh,AP_East Godavari,16,11240
Andhra Pradesh,AP_East Godavari,17,0
Andhra Pradesh,AP_Guntur,1,404
Andhra Pradesh,AP_Guntur,2,219
Andhra Pradesh,AP_Guntur,3,2733
Andhra Pradesh,AP_Guntur,4,21584
Andhra Pradesh,AP_Guntur,5,21064
Andhra Pradesh,AP_Guntur,6,14953
Andhra Pradesh,AP_Guntur,7,9833
Andhra Pradesh,AP_Guntur,8,3178
Andhra Pradesh,AP_Guntur,9,1275
Andhra Pradesh,AP_Guntur,10,372
Andhra Pradesh,AP_Guntur,11,296
Andhra Pradesh,AP_Guntur,12,7606
Andhra Pradesh,AP_Guntur,13,46209
Andhra Pradesh,AP_Guntur,14,27837
Andhra Pradesh,AP_Guntur,15,7853
Andhra Pradesh,AP_Guntur,16,5077
Andhra Pradesh,AP_Guntur,17,0
Andhra Pradesh,AP_Krishna,1,351
Andhra Pradesh,AP_Krishna,2,350
Andhra Pradesh,AP_Krishna,3,2043
Andhra Pradesh,AP_Krishna,4,9039
Andhra Pradesh,AP_Krishna,5,9692
Andhra Pradesh,AP_Krishna,6,11435
Andhra Pradesh,AP_Krishna,7,10134
Andhra Pradesh,AP_Krishna,8,3677
Andhra Pradesh,AP_Krishna,9,1564
Andhra Pradesh,AP_Krishna,10,535
Andhra Pradesh,AP_Krishna,11,332
Andhra Pradesh,AP_Krishna,12,4379
Andhra Pradesh,AP_Krishna,13,20979
Andhra Pradesh,AP_Krishna,14,21343
Andhra Pradesh,AP_Krishna,15,8908
Andhra Pradesh,AP_Krishna,16,6838
Andhra Pradesh,AP_Krishna,17,0
Andhra Pradesh,AP_Kurnool,1,591
Andhra Pradesh,AP_Kurnool,2,385
Andhra Pradesh,AP_Kurnool,3,2847
Andhra Pradesh,AP_Kurnool,4,28189
Andhra Pradesh,AP_Kurnool,5,19954
Andhra Pradesh,AP_Kurnool,6,6467
Andhra Pradesh,AP_Kurnool,7,1482
Andhra Pradesh,AP_Kurnool,8,501
Andhra Pradesh,AP_Kurnool,9,298
Andhra Pradesh,AP_Kurnool,10,133
Andhra Pradesh,AP_Kurnool,11,114
Andhra Pradesh,AP_Kurnool,12,2752
Andhra Pradesh,AP_Kurnool,13,34742
Andhra Pradesh,AP_Kurnool,14,21248
Andhra Pradesh,AP_Kurnool,15,3006
Andhra Pradesh,AP_Kurnool,16,863
Andhra Pradesh,AP_Kurnool,17,0
Andhra Pradesh,AP_Prakasam,1,63
Andhra Pradesh,AP_Prakasam,2,38
Andhra Pradesh,AP_Prakasam,3,1137
Andhra Pradesh,AP_Prakasam,4,9525
Andhra Pradesh,AP_Prakasam,5,26123
Andhra Pradesh,AP_Prakasam,6,18360
Andhra Pradesh,AP_Prakasam,7,5668
Andhra Pradesh,AP_Prakasam,8,890
Andhra Pradesh,AP_Prakasam,9,303
Andhra Pradesh,AP_Prakasam,10,86
Andhra Pradesh,AP_Prakasam,11,59
Andhra Pradesh,AP_Prakasam,12,2104
Andhra Pradesh,AP_Prakasam,13,24327
Andhra Pradesh,AP_Prakasam,14,26602
Andhra Pradesh,AP_Prakasam,15,10155
Andhra Pradesh,AP_Prakasam,16,6347
Andhra Pradesh,AP_Prakasam,17,0
Andhra Pradesh,AP_S.P.S. Nellore,1,126
Andhra Pradesh,AP_S.P.S. Nellore,2,270
Andhra Pradesh,AP_S.P.S. Nellore,3,1023
Andhra Pradesh,AP_S.P.S. Nellore,4,14750
Andhra Pradesh,AP_S.P.S. Nellore,5,27961
Andhra Pradesh,AP_S.P.S. Nellore,6,13161
Andhra Pradesh,AP_S.P.S. Nellore,7,3563
Andhra Pradesh,AP_S.P.S. Nellore,8,955
Andhra Pradesh,AP_S.P.S. Nellore,9,438
Andhra Pradesh,AP_S.P.S. Nellore,10,151
Andhra Pradesh,AP_S.P.S. Nellore,11,138
Andhra Pradesh,AP_S.P.S. Nellore,12,3266
