District,Confirmed,State,Week
AP_Anantapur,0,Andhra Pradesh,1
AP_Anantapur,0,Andhra Pradesh,2
AP_Anantapur,71,Andhra Pradesh,3
AP_Anantapur,31,Andhra Pradesh,4
AP_Anantapur,20,Andhra Pradesh,5
AP_Anantapur,14,Andhra Pradesh,6
AP_Anantapur,73,Andhra Pradesh,7
AP_Anantapur,65,Andhra Pradesh,8
AP_Anantapur,144,Andhra Pradesh,9
AP_Anantapur,371,Andhra Pradesh,10
AP_Anantapur,531,Andhra Pradesh,11
AP_Anantapur,779,Andhra Pradesh,12
AP_Anantapur,1062,Andhra Pradesh,13
AP_Anantapur,1343,Andhra Pradesh,14
AP_Anantapur,4485,Andhra Pradesh,15
AP_Anantapur,6838,Andhra Pradesh,16
AP_Anantapur,7422,Andhra Pradesh,17
AP_Anantapur,5698,Andhra Pradesh,18
AP_Anantapur,5380,Andhra Pradesh,19
AP_Anantapur,5133,Andhra Pradesh,20
AP_Anantapur,5087,Andhra Pradesh,21
AP_Anantapur,4238,Andhra Pradesh,22
AP_Anantapur,3513,Andhra Pradesh,23
AP_Anantapur,3431,Andhra Pradesh,24
AP_Anantapur,2594,Andhra Pradesh,25
AP_Anantapur,2313,Andhra Pradesh,26
AP_Anantapur,1632,Andhra Pradesh,27
AP_Anantapur,1322,Andhra Pradesh,28
AP_Anantapur,1016,Andhra Pradesh,29
AP_Anantapur,863,Andhra Pradesh,30
AP_Anantapur,634,Andhra Pradesh,31
AP_Anantapur,325,Andhra Pradesh,32
AP_Anantapur,226,Andhra Pradesh,33
AP_Anantapur,171,Andhra Pradesh,34
AP_Anantapur,164,Andhra Pradesh,35
AP_Anantapur,132,Andhra Pradesh,36
AP_Anantapur,127,Andhra Pradesh,37
AP_Anantapur,126,Andhra Pradesh,38
AP_Anantapur,116,Andhra Pradesh,39
AP_Anantapur,63,Andhra Pradesh,40
AP_Anantapur,51,Andhra Pradesh,41
AP_Anantapur,37,Andhra Pradesh,42
AP_Anantapur,32,Andhra Pradesh,43
AP_Anantapur,16,Andhra Pradesh,44
AP_Anantapur,29,Andhra Pradesh,45
AP_Anantapur,35,Andhra Pradesh,46
AP_Anantapur,48,Andhra Pradesh,47
AP_Anantapur,47,Andhra Pradesh,48
AP_Anantapur,98,Andhra Pradesh,49
AP_Anantapur,268,Andhra Pradesh,50
AP_Anantapur,331,Andhra Pradesh,51
AP_Anantapur,786,Andhra Pradesh,52
AP_Anantapur,1817,Andhra Pradesh,53
AP_Anantapur,4641,Andhra Pradesh,54
AP_Anantapur,8625,Andhra Pradesh,55
AP_Anantapur,12324,Andhra Pradesh,56
AP_Anantapur,14123,Andhra Pradesh,57
AP_Anantapur,15987,Andhra Pradesh,58
AP_Anantapur,9691,Andhra Pradesh,59
AP_Anantapur,7126,Andhra Pradesh,60
AP_Anantapur,5562,Andhra Pradesh,61
AP_Anantapur,2420,Andhra Pradesh,62
AP_Anantapur,1701,Andhra Pradesh,63
AP_Anantapur,980,Andhra Pradesh,64
AP_Anantapur,654,Andhra Pradesh,65
AP_Anantapur,498,Andhra Pradesh,66
AP_Anantapur,457,Andhra Pradesh,67
AP_Anantapur,335,Andhra Pradesh,68
AP_Anantapur,264,Andhra Pradesh,69
AP_Anantapur,235,Andhra Pradesh,70
AP_Chittoor,0,Andhra Pradesh,1
AP_Chittoor,0,Andhra Pradesh,2
AP_Chittoor,80,Andhra Pradesh,3
AP_Chittoor,16,Andhra Pradesh,4
AP_Chittoor,77,Andhra Pradesh,5
AP_Chittoor,35,Andhra Pradesh,6
AP_Chittoor,45,Andhra Pradesh,7
AP_Chittoor,45,Andhra Pradesh,8
AP_Chittoor,52,Andhra Pradesh,9
AP_Chittoor,165,Andhra Pradesh,10
AP_Chittoor,294,Andhra Pradesh,11
AP_Chittoor,441,Andhra Pradesh,12
AP_Chittoor,1259,Andhra Pradesh,13
AP_Chittoor,1698,Andhra Pradesh,14
AP_Chittoor,2662,Andhra Pradesh,15
AP_Chittoor,4458,Andhra Pradesh,16
AP_Chittoor,4922,Andhra Pradesh,17
AP_Chittoor,6229,Andhra Pradesh,18
AP_Chittoor,6418,Andhra Pradesh,19
AP_Chittoor,5869,Andhra Pradesh,20
AP_Chittoor,6869,Andhra Pradesh,21
AP_Chittoor,6807,Andhra Pradesh,22
AP_Chittoor,5618,Andhra Pradesh,23
AP_Chittoor,5184,Andhra Pradesh,24
AP_Chittoor,5255,Andhra Pradesh,25
AP_Chittoor,5111,Andhra Pradesh,26
AP_Chittoor,3588,Andhra Pradesh,27
AP_Chittoor,2897,Andhra Pradesh,28
AP_Chittoor,2248,Andhra Pradesh,29
AP_Chittoor,2095,Andhra Pradesh,30
AP_Chittoor,1538,Andhra Pradesh,31
AP_Chittoor,989,Andhra Pradesh,32
AP_Chittoor,615,Andhra Pradesh,33
AP_Chittoor,582,Andhra Pradesh,34
AP_Chittoor,581,Andhra Pradesh,35
AP_Chittoor,639,Andhra Pradesh,36
AP_Chittoor,450,Andhra Pradesh,37
AP_Chittoor,417,Andhra Pradesh,38
AP_Chittoor,305,Andhra Pradesh,39
AP_Chittoor,180,Andhra Pradesh,40
AP_Chittoor,195,Andhra Pradesh,41
AP_Chittoor,90,Andhra Pradesh,42
AP_Chittoor,93,Andhra Pradesh,43
AP_Chittoor,89,Andhra Pradesh,44
AP_Chittoor,95,Andhra Pradesh,45
AP_Chittoor,146,Andhra Pradesh,46
