District,Total_Population,Total_Male_Population,Total_Female_Population,State
Kupwara,870354,474190,396164,Jammu and Kashmir
Badgam,753745,398041,355704,Jammu and Kashmir
Leh(Ladakh),133487,78971,54516,Jammu and Kashmir
Kargil,140802,77785,63017,Jammu and Kashmir
Punch,476835,251899,224936,Jammu and Kashmir
Rajouri,642415,345351,297064,Jammu and Kashmir
Kathua,616435,326109,290326,Jammu and Kashmir
Baramula,1008039,534733,473306,Jammu and Kashmir
Bandipore,392232,207680,184552,Jammu and Kashmir
Srinagar,1236829,651124,585705,Jammu and Kashmir
Ganderbal,297446,158720,138726,Jammu and Kashmir
Pulwama,560440,293064,267376,Jammu and Kashmir
Shupiyan,266215,136480,129735,Jammu and Kashmir
Anantnag,1078692,559767,518925,Jammu and Kashmir
Kulgam,424483,217620,206863,Jammu and Kashmir
Doda,409936,213641,196295,Jammu and Kashmir
Ramban,283713,149132,134581,Jammu and Kashmir
Kishtwar,230696,120165,110531,Jammu and Kashmir
Udhampur,554985,296784,258201,Jammu and Kashmir
Reasi,314667,166461,148206,Jammu and Kashmir
Jammu,1529958,813821,716137,Jammu and Kashmir
Samba,318898,169124,149774,Jammu and Kashmir
Chamba,519080,261320,257760,Himachal Pradesh
Kangra,1510075,750591,759484,Himachal Pradesh
Lahul and Spiti,31564,16588,14976,Himachal Pradesh
Kullu,437903,225452,212451,Himachal Pradesh
Mandi,999777,498065,501712,Himachal Pradesh
Hamirpur,454768,217070,237698,Himachal Pradesh
Una,521173,263692,257481,Himachal Pradesh
Bilaspur,381956,192764,189192,Himachal Pradesh
Solan,580320,308754,271566,Himachal Pradesh
Sirmaur,529855,276289,253566,Himachal Pradesh
Shimla,814010,425039,388971,Himachal Pradesh
Kinnaur,84121,46249,37872,Himachal Pradesh
Gurdaspur,2298323,1212617,1085706,Punjab
Kapurthala ,815168,426311,388857,Punjab
Jalandhar,2193590,1145211,1048379,Punjab
Hoshiarpur,1586625,809057,777568,Punjab
Shahid Bhagat Singh Nagar ,612310,313291,299019,Punjab
Fatehgarh Sahib,600163,320795,279368,Punjab
Ludhiana,3498739,1867816,1630923,Punjab
Moga,995746,525920,469826,Punjab
Firozpur,2029074,1071637,957437,Punjab
Muktsar,901896,475622,426274,Punjab
Faridkot,617508,326671,290837,Punjab
Bathinda,1388525,743197,645328,Punjab
Mansa,769751,408732,361019,Punjab
Patiala,1895686,1002522,893164,Punjab
Amritsar ,2490656,1318408,1172248,Punjab
Tarn Taran,1119627,589369,530258,Punjab
Rupnagar,684627,357485,327142,Punjab
Sahibzada Ajit Singh Nagar,994628,529253,465375,Punjab
Sangrur,1655169,878029,777140,Punjab
Barnala,595527,317522,278005,Punjab
Chandigarh,1055450,580663,474787,Chandigarh
Uttarkashi,330086,168597,161489,Uttarakhand
Chamoli,391605,193991,197614,Uttarakhand
Rudraprayag,242285,114589,127696,Uttarakhand
Tehri Garhwal,618931,297986,320945,Uttarakhand
Dehradun,1696694,892199,804495,Uttarakhand
Garhwal,687271,326829,360442,Uttarakhand
Pithoragarh,483439,239306,244133,Uttarakhand
Bageshwar,259898,124326,135572,Uttarakhand
"Almora
",622506,291081,331425,Uttarakhand
Champawat,259648,131125,128523,Uttarakhand
Nainital,954605,493666,460939,Uttarakhand
Udham Singh Nagar,1648902,858783,790119,Uttarakhand
Hardwar,1890422,1005295,885127,Uttarakhand
Panchkula,561293,299679,261614,Haryana
Ambala,1128350,598703,529647,Haryana
Yamunanagar,1214205,646718,567487,Haryana
Kurukshetra,964655,510976,453679,Haryana
Kaithal,1074304,571003,503301,Haryana
Karnal,1505324,797712,707612,Haryana
Panipat,1205437,646857,558580,Haryana
Sonipat,1450001,781299,668702,Haryana
Jind,1334152,713006,621146,Haryana
