districtid,vaccinationratio
OR_Khordha,0.2314858659655288
AS_Barpeta,0.8270759962532848
BR_Patna,0.9303351567298255
MH_Bhandara,1.1819647036052998
AS_Sonitpur,1.3911358879352973
MH_Gondia,1.4068401827420187
MH_Washim,1.5134392844987332
DL_New Delhi,1.7779323890592476
TG_Jagtial,1.8359966052376333
TG_Mulugu,1.9856985474130897
TG_Ranga Reddy,2.0870514329905236
TG_Hyderabad,2.1762563937409394
DL_South East Delhi,2.2033550430210327
MH_Ratnagiri,2.3342871695672827
TG_Medchal Malkajgiri,2.5486894153146125
DL_West Delhi,2.6086307140923104
MH_Sindhudurg,2.6374619150839007
AS_South Salmara Mankachar,2.645366067835059
GJ_Chhota Udaipur,2.653125467511096
TN_Chennai,2.692096394831933
OR_Ganjam,2.7257602104679313
DL_North West Delhi,2.7464783688939574
MH_Parbhani,2.7789958951689298
MP_Jabalpur,2.7841309139772576
GJ_Amreli,2.8056193733939176
PB_Amritsar,2.81604404308631
MH_Buldhana,2.8472811249806838
TN_Vellore,2.9059454983661337
RJ_Jaipur,2.949994502913456
GJ_Aravalli,2.9507450069296284
UP_Sonbhadra,2.989242118620794
UP_Amethi,3.0201668162308435
JH_Khunti,3.067393133452359
HR_Palwal,3.080245131994151
UP_Fatehpur,3.1125437287398268
DL_Central Delhi,3.1511622803809414
JH_Hazaribagh,3.1642447574250046
DL_North Delhi,3.238470509908727
HR_Karnal,3.260260991677037
PB_Barnala,3.27469808788997
MH_Osmanabad,3.2829037742264537
MH_Nanded,3.28723802661332
GJ_Gir Somnath,3.318966604449377
MH_Amravati,3.327638338067727
MH_Dhule,3.3600534236919235
GJ_Navsari,3.378776694709594
DL_South Delhi,3.40547061557731
CT_Raipur,3.4349796116309834
JH_Palamu,3.4362520189242884
PB_Fatehgarh Sahib,3.4407067297720286
TG_Yadadri Bhuvanagiri,3.4912862776583937
MH_Hingoli,3.5434532953511613
TG_Jayashankar Bhupalapally,3.6686740812874787
GJ_Kheda,3.6841406983140796
HR_Sonipat,3.8385629889024653
MP_Tikamgarh,3.883000472971942
MH_Ahmednagar,3.887821079527529
AP_Prakasam,3.8887446240949424
RJ_Ajmer,3.9068586388962667
AP_Guntur,3.9124193497951825
DL_North East Delhi,3.927177531157855
MH_Latur,3.9313484755473707
JH_Lohardaga,3.9479276088718147
MH_Gadchiroli,3.9620397705118924
KA_Chamarajanagara,3.9642564512864014
GJ_Porbandar,3.9800309714867397
JH_Ranchi,4.013081435632131
UP_Kushinagar,4.028951209403737
TG_Sangareddy,4.031468811267155
GJ_Devbhumi Dwarka,4.046306157792864
AS_Hojai,4.064865081164717
DL_Shahdara,4.0787475216041305
HR_Charkhi Dadri,4.108367954012024
BR_Purnia,4.169139480860519
AP_Krishna,4.175496600630646
OR_Malkangiri,4.24987673799428
MH_Akola,4.262765892500502
