state,vaccinationratio
Delhi,3.1199120438971493
Telangana,3.7053982495527245
Andhra Pradesh,4.82851520591271
Jharkhand,4.98655357362878
Tamil Nadu,5.462862029980607
Odisha,5.4739368040695515
Punjab,5.724991647902086
Haryana,5.8094292592005825
Maharashtra,6.414491606320293
Karnataka,6.442512591184966
Assam,6.445017011106723
West Bengal,6.601276940268463
Rajasthan,6.914648618637803
Bihar,6.994144199353374
Uttar Pradesh,7.401671558810622
Madhya Pradesh,7.500983426580054
Chhattisgarh,7.731076429406983
Gujarat,8.188766414922418
Kerala,8.584521738441236
Puducherry,9.109431094383323
Uttarakhand,12.28622457956395
Jammu and Kashmir,26.135303620640503
Chandigarh,27.48995904533258
Tripura,48.11999279863174
Goa,50.10913723547314
Sikkim,72.5777733716665
Himachal Pradesh,309.6373442795093
Mizoram,660.4903846153846
Nagaland,1956.1404358353511
Arunachal Pradesh,5118.972067039106
Ladakh,5355.306122448979
Meghalaya,6365.025641025641
Lakshadweep,7726.333333333333
Dadra and Nagar Haveli and Daman and Diu,14727.106382978724
Manipur,15044.302083333334
Andaman and Nicobar Islands,347095.0
