districtid,vaccinateddose1ratio,vaccinateddose2ratio
MN_Senapati,0.054219155667977324,0.010347533538697856
TN_Kancheepuram,0.07761591815623427,0.011719621474584394
AR_Kurung Kumey,0.09506277422998392,0.0309201094747817
TN_Vellore,0.10285059869203073,0.03073750657655568
MN_Ukhrul,0.10520223045902673,0.03102751116859966
TN_Viluppuram,0.1260789280207744,0.020357787059542228
UP_Sultanpur,0.13239886998478057,0.02805812936498928
CT_Surguja,0.14156827914568754,0.043020722187427696
UP_Moradabad,0.14209998897738185,0.03219736102595009
UP_Budaun,0.1454052477310603,0.026255222852573784
UP_Rae Bareli,0.14634660565269902,0.02390415200558851
ML_East Garo Hills,0.1600449173840971,0.033071524957772
WB_Paschim Medinipur,0.16035730030674106,0.06431178919538943
UP_Ballia,0.16473186092610165,0.03631210078233852
AS_Karbi Anglong,0.16551902985737932,0.03895168213754283
UP_Muzaffarnagar,0.1681648321520488,0.030053008172777104
AS_Dhubri,0.16973843380404235,0.03811142496272941
UP_Sitapur,0.1716470502177524,0.026906158619373094
UP_Rampur,0.17177829275299156,0.03390331185763965
PB_Mansa,0.1760595309392258,0.040240285494919786
ML_West Khasi Hills,0.17785902608087914,0.05857701304695914
UP_Pratapgarh,0.17819597206853796,0.03297393289980091
MN_Chandel,0.17964100927993787,0.055575591960161465
NL_Tuensang,0.17978493967323853,0.0483021017721622
NL_Phek,0.18021270606665116,0.058818490007220746
PB_Sangrur,0.18178989577499338,0.04885845493722998
UP_Sant Kabir Nagar,0.18200157067788103,0.03138207409938182
CT_Durg,0.18305754526489051,0.07735074787551677
UP_Sonbhadra,0.18462931912492436,0.04065320883794822
UP_Kaushambi,0.18548120900527384,0.0337303919239608
WB_Uttar Dinajpur,0.18632957493746538,0.05754815049811548
NL_Peren,0.18982556002478496,0.061794389775149915
CT_Bastar,0.19082521286810988,0.050248408044443846
MH_Solapur,0.19098091693926197,0.06979296653168915
AR_Lohit,0.19393931076129173,0.04604531792542168
TN_Thiruvallur,0.19420541916212639,0.04440782767862699
UP_Unnao,0.19462824048769017,0.035623528367145836
UP_Etah,0.1955761687931112,0.03029901717686308
UP_Kushinagar,0.1958704956370296,0.038984229118787704
MH_Jalgaon,0.19662300702354207,0.0642551615078972
UP_Mau,0.19697384549549224,0.04133650170809368
