state,week,dose1,dose2
Andaman and Nicobar Islands,1,0,0
Andaman and Nicobar Islands,2,897,0
Andaman and Nicobar Islands,3,1140,0
Andaman and Nicobar Islands,4,720,0
Andaman and Nicobar Islands,5,260,0
Andaman and Nicobar Islands,6,3767,946
Andaman and Nicobar Islands,7,1322,1014
Andaman and Nicobar Islands,8,2259,250
Andaman and Nicobar Islands,9,3105,530
Andaman and Nicobar Islands,10,1856,871
Andaman and Nicobar Islands,11,1956,1469
Andaman and Nicobar Islands,12,2793,143
Andaman and Nicobar Islands,13,11865,347
Andaman and Nicobar Islands,14,37588,998
Andaman and Nicobar Islands,15,19345,2729
Andaman and Nicobar Islands,16,7206,1791
Andaman and Nicobar Islands,17,3695,2441
Andaman and Nicobar Islands,18,2419,1601
Andaman and Nicobar Islands,19,7584,26
Andaman and Nicobar Islands,20,4712,10
Andaman and Nicobar Islands,21,3654,57
Andaman and Nicobar Islands,22,18082,129
Andaman and Nicobar Islands,23,5911,154
Andaman and Nicobar Islands,24,22128,795
Andaman and Nicobar Islands,25,16001,8472
Andaman and Nicobar Islands,26,6766,31714
Andaman and Nicobar Islands,27,14577,20711
Andaman and Nicobar Islands,28,12045,9279
Andaman and Nicobar Islands,29,14701,5073
Andaman and Nicobar Islands,30,7602,2699
Andaman and Nicobar Islands,31,17688,3038
Andhra Pradesh,1,0,0
Andhra Pradesh,2,66598,0
Andhra Pradesh,3,63191,0
Andhra Pradesh,4,112367,0
Andhra Pradesh,5,67569,6233
Andhra Pradesh,6,127362,81237
Andhra Pradesh,7,122137,50342
Andhra Pradesh,8,117103,45307
Andhra Pradesh,9,196170,54243
Andhra Pradesh,10,445838,61917
Andhra Pradesh,11,667934,73728
Andhra Pradesh,12,604379,47066
Andhra Pradesh,13,714537,101863
Andhra Pradesh,14,741749,76034
Andhra Pradesh,15,584436,528629
Andhra Pradesh,16,631642,392788
Andhra Pradesh,17,269814,454871
Andhra Pradesh,18,77490,193005
Andhra Pradesh,19,87970,180783
Andhra Pradesh,20,1711190,133539
Andhra Pradesh,21,957902,90939
Andhra Pradesh,22,1031376,47528
Andhra Pradesh,23,598185,32276
Andhra Pradesh,24,2069992,254321
Andhra Pradesh,25,1251921,361815
Andhra Pradesh,26,299752,204683
Andhra Pradesh,27,1035127,644884
Andhra Pradesh,28,402582,537279
Andhra Pradesh,29,1186525,917332
Andhra Pradesh,30,1380322,567504
Andhra Pradesh,31,1039018,345116
Arunachal Pradesh,1,0,0
Arunachal Pradesh,2,2369,0
Arunachal Pradesh,3,4045,0
Arunachal Pradesh,4,2797,0
Arunachal Pradesh,5,3963,456
Arunachal Pradesh,6,7731,3764
Arunachal Pradesh,7,5885,2742
Arunachal Pradesh,8,11346,2690
Arunachal Pradesh,9,8860,2904
Arunachal Pradesh,10,10377,3944
Arunachal Pradesh,11,11366,3469
Arunachal Pradesh,12,11419,3264
Arunachal Pradesh,13,24487,6926
Arunachal Pradesh,14,33211,7263
Arunachal Pradesh,15,30314,9706
Arunachal Pradesh,16,29210,9099
Arunachal Pradesh,17,17988,14280
Arunachal Pradesh,18,11275,7987
Arunachal Pradesh,19,26396,191
Arunachal Pradesh,20,9402,198
Arunachal Pradesh,21,39730,330
